Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
AAPL,HD,IBM,MCD,MMM,NFLX,NVDA,PSX,TSLA,TXN
228.36000099999998,205.080002,145.679993,161.720001,208.600006,363.600006,283.700012,118.959999,288.950012,112.540001
226.86999500000002,204.149994,146.66000400000001,163.240005,211.830002,341.179993,278.420013,117.989998,280.73999,111.129997
223.100006,205.889999,146.389999,163.740005,212.74000499999997,346.459991,272.72000099999997,116.699997,280.950012,110.889999
221.30000299999998,206.229996,145.449997,163.899994,212.57000699999998,348.679993,271.859985,114.300003,263.23999,108.459999
218.330002,210.690002,145.649994,165.070007,212.92999300000002,348.410004,274.730011,113.949997,285.5,108.32
223.850006,213.850006,146.490005,164.619995,211.77999900000003,355.929993,272.799988,112.550003,279.440002,106.050003
221.07000699999998,211.979996,146.570007,164.740005,206.71000700000002,369.950012,268.200012,112.160004,290.540009,104.540001
226.41000400000001,209.449997,148.949997,162.399994,209.050003,368.149994,271.339996,113.019997,289.459991,105.720001
223.83999599999999,209.070007,148.330002,160.83999599999999,207.880005,364.559998,276.429993,113.599998,295.200012,105.360001
217.88000499999998,208.399994,147.940002,158.139999,209.529999,350.350006,273.929993,112.809998,294.839996,103.699997
218.24000499999997,211.020004,148.559998,157.770004,211.52999900000003,367.649994,271.019989,113.300003,284.959991,104.910004
218.36999500000002,211.67999300000002,149.059998,159.179993,213.11999500000002,366.959991,271.980011,109.360001,299.019989,107.370003
220.02999900000003,211.059998,151.149994,160.78999299999998,215.270004,365.359985,266.27999900000003,110.33000200000001,298.329987,108.489998
217.66000400000001,212.38999900000002,151.350006,165.300003,216.330002,361.190002,263.450012,111.660004,299.100006,110.050003
220.789993,207.990005,150.029999,163.309998,213.50999500000003,369.609985,265.700012,113.459999,299.679993,109.800003
222.190002,207.46000700000002,148.91000400000001,166.41000400000001,210.63999900000002,369.429993,268.410004,114.879997,300.98999,107.550003
220.419998,207.520004,151.610001,165.759995,211.07000699999998,377.880005,266.920013,113.889999,309.579987,106.220001
224.94999700000002,206.83999599999999,151.5,166.529999,210.11000099999998,380.709991,267.399994,112.879997,307.519989,107.290001
